path,word,emotion,speaker_group,label
data\TESS_female\OAF_angry\OAF_back_angry.wav,back,angry,OAF,0
data\TESS_female\OAF_angry\OAF_bar_angry.wav,bar,angry,OAF,0
data\TESS_female\OAF_angry\OAF_base_angry.wav,base,angry,OAF,0
data\TESS_female\OAF_angry\OAF_bath_angry.wav,bath,angry,OAF,0
data\TESS_female\OAF_angry\OAF_bean_angry.wav,bean,angry,OAF,0
data\TESS_female\OAF_angry\OAF_beg_angry.wav,beg,angry,OAF,0
data\TESS_female\OAF_angry\OAF_bite_angry.wav,bite,angry,OAF,0
data\TESS_female\OAF_angry\OAF_boat_angry.wav,boat,angry,OAF,0
data\TESS_female\OAF_angry\OAF_bone_angry.wav,bone,angry,OAF,0
data\TESS_female\OAF_angry\OAF_book_angry.wav,book,angry,OAF,0
data\TESS_female\OAF_angry\OAF_bought_angry.wav,bought,angry,OAF,0
data\TESS_female\OAF_angry\OAF_burn_angry.wav,burn,angry,OAF,0
data\TESS_female\OAF_angry\OAF_cab_angry.wav,cab,angry,OAF,0
data\TESS_female\OAF_angry\OAF_calm_angry.wav,calm,angry,OAF,0
data\TESS_female\OAF_angry\OAF_came_angry.wav,came,angry,OAF,0
data\TESS_female\OAF_angry\OAF_cause_angry.wav,cause,angry,OAF,0
data\TESS_female\OAF_angry\OAF_chain_angry.wav,chain,angry,OAF,0
data\TESS_female\OAF_angry\OAF_chair_angry.wav,chair,angry,OAF,0
data\TESS_female\OAF_angry\OAF_chalk_angry.wav,chalk,angry,OAF,0
data\TESS_female\OAF_angry\OAF_chat_angry.wav,chat,angry,OAF,0
data\TESS_female\OAF_angry\OAF_check_angry.wav,check,angry,OAF,0
data\TESS_female\OAF_angry\OAF_cheek_angry.wav,cheek,angry,OAF,0
data\TESS_female\OAF_angry\OAF_chief_angry.wav,chief,angry,OAF,0
data\TESS_female\OAF_angry\OAF_choice_angry.wav,choice,angry,OAF,0
data\TESS_female\OAF_angry\OAF_cool_angry.wav,cool,angry,OAF,0
data\TESS_female\OAF_angry\OAF_dab_angry.wav,dab,angry,OAF,0
data\TESS_female\OAF_angry\OAF_date_angry.wav,date,angry,OAF,0
data\TESS_female\OAF_angry\OAF_dead_angry.wav,dead,angry,OAF,0
data\TESS_female\OAF_angry\OAF_death_angry.wav,death,angry,OAF,0
data\TESS_female\OAF_angry\OAF_deep_angry.wav,deep,angry,OAF,0
data\TESS_female\OAF_angry\OAF_dime_angry.wav,dime,angry,OAF,0
data\TESS_female\OAF_angry\OAF_dip_angry.wav,dip,angry,OAF,0
data\TESS_female\OAF_angry\OAF_ditch_angry.wav,ditch,angry,OAF,0
data\TESS_female\OAF_angry\OAF_dodge_angry.wav,dodge,angry,OAF,0
data\TESS_female\OAF_angry\OAF_dog_angry.wav,dog,angry,OAF,0
data\TESS_female\OAF_angry\OAF_doll_angry.wav,doll,angry,OAF,0
data\TESS_female\OAF_angry\OAF_door_angry.wav,door,angry,OAF,0
data\TESS_female\OAF_angry\OAF_fail_angry.wav,fail,angry,OAF,0
data\TESS_female\OAF_angry\OAF_fall_angry.wav,fall,angry,OAF,0
data\TESS_female\OAF_angry\OAF_far_angry.wav,far,angry,OAF,0
data\TESS_female\OAF_angry\OAF_fat_angry.wav,fat,angry,OAF,0
